,id,song_id,platform_name,platform_url,views,likes,comments
548,549,549,YouTube,https://www.youtube.com/watch?v=makjYfkqQEk,136270.0,2321.0,252.0
549,550,550,YouTube,https://www.youtube.com/watch?v=YTS6nWB_f2w,684039.0,7096.0,605.0
550,551,551,YouTube,https://www.youtube.com/watch?v=z8IQhUXL7h4,46344.0,651.0,64.0
551,552,552,YouTube,https://www.youtube.com/watch?v=ThfI9q57y-k,9855.0,208.0,20.0
552,553,553,YouTube,https://www.youtube.com/watch?v=VCikxv79fwE,9711.0,274.0,9.0
553,554,554,YouTube,https://www.youtube.com/watch?v=QDpO3I2szM0,23512.0,818.0,129.0
554,555,555,YouTube,https://www.youtube.com/watch?v=IFYVNGZl6dE,49302.0,1036.0,87.0
555,556,556,YouTube,https://www.youtube.com/watch?v=CJ9EibL4MYQ,80288.0,1252.0,297.0
556,557,557,YouTube,https://www.youtube.com/watch?v=MocWqx9Agm8,233135.0,2552.0,205.0
557,558,558,YouTube,https://www.youtube.com/watch?v=9wVOZUsAiF4,156909.0,2057.0,342.0
558,559,559,YouTube,https://www.youtube.com/watch?v=lEcJBZKljnk,63569.0,1113.0,271.0
559,560,560,YouTube,https://www.youtube.com/watch?v=x4kH_XbQoN4,56284.0,966.0,285.0
560,561,561,YouTube,https://www.youtube.com/watch?v=7hb6WVdpzc0,90419.0,1257.0,177.0
561,562,562,YouTube,https://www.youtube.com/watch?v=I70nd6Htbvs,60829.0,812.0,69.0
562,563,563,YouTube,https://www.youtube.com/watch?v=2Al7EuF8z_0,17922.0,311.0,17.0
563,564,564,YouTube,https://www.youtube.com/watch?v=JgRxSm1FoGo,23452.0,519.0,28.0
564,565,565,YouTube,https://www.youtube.com/watch?v=WiCXrh63Cu8,14638.0,321.0,26.0
565,566,566,YouTube,https://www.youtube.com/watch?v=Y9yesTeX0WE,8821.0,156.0,11.0
566,567,567,YouTube,https://www.youtube.com/watch?v=uP_gdHeoCcI,62855.0,895.0,47.0
567,568,568,YouTube,https://www.youtube.com/watch?v=ydlbaR77bUw,47556.0,519.0,21.0
568,569,569,YouTube,https://www.youtube.com/watch?v=nAOILgKm8vQ,1936061.0,16458.0,894.0
569,570,570,YouTube,https://www.youtube.com/watch?v=pHHREVc5ZO8,21146.0,332.0,52.0
570,571,571,YouTube,https://www.youtube.com/watch?v=_VxWsLwkUPc,846322.0,8933.0,603.0
571,572,572,YouTube,https://www.youtube.com/watch?v=upy4BCXiY48,436921.0,3993.0,292.0
572,573,573,YouTube,https://www.youtube.com/watch?v=ozkmrhaSsvQ,20904.0,315.0,32.0
573,574,574,YouTube,https://www.youtube.com/watch?v=NGzPEBnXr_E,14593.0,232.0,29.0
574,575,575,YouTube,https://www.youtube.com/watch?v=b5PWNhxJPAg,12941.0,211.0,15.0
575,576,576,YouTube,https://www.youtube.com/watch?v=pvv_Oo4dqdE,20125.0,308.0,11.0
576,577,577,YouTube,https://www.youtube.com/watch?v=ez_oWG66lU0,33253.0,531.0,32.0
577,578,578,YouTube,https://www.youtube.com/watch?v=3BzGomVvvN4,69773.0,1034.0,98.0
578,579,579,YouTube,https://www.youtube.com/watch?v=J5z1m8lWqXY,181399.0,2534.0,184.0
579,580,580,YouTube,https://www.youtube.com/watch?v=vfLB1GJw7yg,13361.0,332.0,34.0
580,581,581,YouTube,https://www.youtube.com/watch?v=waVNspoy63g,69892.0,876.0,54.0
581,582,582,YouTube,https://www.youtube.com/watch?v=JI04FXFEu0o,2001190.0,16626.0,570.0
582,583,583,YouTube,https://www.youtube.com/watch?v=HUROCu6Eh2o,29707.0,549.0,20.0
583,584,584,YouTube,https://www.youtube.com/watch?v=4Gto6NWCJh4,8770.0,221.0,7.0
584,585,585,YouTube,https://www.youtube.com/watch?v=q90-a8LGICM,9522.0,178.0,10.0
585,586,586,YouTube,https://www.youtube.com/watch?v=kr0cGXNmnUs,26839.0,378.0,29.0
586,587,587,YouTube,https://www.youtube.com/watch?v=UZ1lkpnMGwU,17661.0,329.0,47.0
587,588,588,YouTube,https://www.youtube.com/watch?v=dH4IdgD_8q0,19866.0,320.0,31.0
588,589,589,YouTube,https://www.youtube.com/watch?v=5aGa_4XQkaU,28503.0,549.0,45.0
589,590,590,YouTube,https://www.youtube.com/watch?v=SkvuK5iJll8,12635.0,255.0,12.0
590,591,591,YouTube,https://www.youtube.com/watch?v=jMSPUi5FVtw,16279.0,335.0,19.0
591,592,592,YouTube,https://www.youtube.com/watch?v=VBqsFgUhb1w,76628.0,1069.0,60.0
592,593,593,YouTube,https://www.youtube.com/watch?v=r4pm4EpQeqs,11146.0,227.0,12.0
593,594,594,YouTube,https://www.youtube.com/watch?v=vECbj3Xf1Qc,281915.0,2533.0,213.0
594,595,595,YouTube,https://www.youtube.com/watch?v=cwwamvtSkAo,22281.0,413.0,40.0
595,596,596,YouTube,https://www.youtube.com/watch?v=aGOaHahIuog,23229.0,434.0,38.0
596,597,597,YouTube,https://www.youtube.com/watch?v=yAFuu38vrXY,30550.0,545.0,48.0
597,598,598,YouTube,https://www.youtube.com/watch?v=s7qYEG3k_XU,281462.0,3296.0,227.0
598,599,599,YouTube,https://www.youtube.com/watch?v=WMwNdQ-2uDU,47798.0,1019.0,109.0
599,600,600,YouTube,https://www.youtube.com/watch?v=_2tz_QazhzE,636962.0,6665.0,574.0
600,601,601,YouTube,https://www.youtube.com/watch?v=k2coF7KxgcM,5463228.0,30102.0,1577.0
601,602,602,YouTube,https://www.youtube.com/watch?v=GN4YWlXByM0,267912.0,2426.0,169.0
602,603,603,YouTube,https://www.youtube.com/watch?v=yn_-wk_Feok,594260.0,6187.0,439.0
603,604,604,YouTube,https://www.youtube.com/watch?v=IiIjGeqviVk,24572.0,420.0,55.0
604,605,605,YouTube,https://www.youtube.com/watch?v=nUGQWCJ_SY8,27651.0,554.0,57.0
605,606,606,YouTube,https://www.youtube.com/watch?v=Kr-eN9qRUaI,363329.0,4146.0,212.0
606,607,607,YouTube,https://www.youtube.com/watch?v=VE5udmvKd8A,49686.0,682.0,81.0
607,608,608,YouTube,https://www.youtube.com/watch?v=potwreTDn7I,61115.0,837.0,85.0
608,609,609,YouTube,https://www.youtube.com/watch?v=w4vvRqoTizw,58696.0,706.0,69.0
609,610,610,YouTube,https://www.youtube.com/watch?v=lIDDNi7htPI,348912.0,2706.0,183.0
610,611,611,YouTube,https://www.youtube.com/watch?v=-316vypF3zY,131815.0,1698.0,186.0
611,612,612,YouTube,https://www.youtube.com/watch?v=Shf5aNl2_UI,34608.0,572.0,57.0
612,613,613,YouTube,https://www.youtube.com/watch?v=_cL8xssEEZY,49139.0,613.0,31.0
613,614,614,YouTube,https://www.youtube.com/watch?v=ua-hHZh-56o,25674.0,489.0,43.0
614,615,615,YouTube,https://www.youtube.com/watch?v=ippbNF6fHVc,95766.0,1235.0,87.0
615,616,616,YouTube,https://www.youtube.com/watch?v=Ly27VTm1Whg,19124.0,374.0,55.0
616,617,617,YouTube,https://www.youtube.com/watch?v=29-QfHfSq08,169373.0,2282.0,240.0
617,618,618,YouTube,https://www.youtube.com/watch?v=QjOvZFMdgIc,1197982.0,9692.0,532.0
618,619,619,YouTube,https://www.youtube.com/watch?v=REPl6cmhSiY,288747.0,2421.0,182.0
619,620,620,YouTube,https://www.youtube.com/watch?v=ooZxgL4sZx4,45919.0,744.0,76.0
620,621,621,YouTube,https://www.youtube.com/watch?v=9ptC0TRculo,191250.0,2172.0,211.0
621,622,622,YouTube,https://www.youtube.com/watch?v=ID8-ym4dkxY,335669.0,4461.0,456.0
622,623,623,YouTube,https://www.youtube.com/watch?v=J8u5Yps5rxg,8307009.0,30339.0,1390.0
623,624,624,YouTube,https://www.youtube.com/watch?v=6Iyo_FoIODk,22561.0,330.0,15.0
624,625,625,YouTube,https://www.youtube.com/watch?v=zAL8Gb2WETM,27681.0,608.0,56.0
625,626,626,YouTube,https://www.youtube.com/watch?v=WnVhM7iwmPs,25780.0,463.0,66.0
626,627,627,YouTube,https://www.youtube.com/watch?v=bRctKVPNcwY,205562.0,2705.0,210.0
627,628,628,YouTube,https://www.youtube.com/watch?v=YVoB_qfw7X8,57384.0,901.0,85.0
628,629,629,YouTube,https://www.youtube.com/watch?v=s2lf0pxEzIo,47398.0,609.0,43.0
629,630,630,YouTube,https://www.youtube.com/watch?v=pCkGuf6OhEU,35376.0,516.0,40.0
630,631,631,YouTube,https://www.youtube.com/watch?v=trRqnGoH8yU,6843397.0,31678.0,1565.0
